datetime_broken,breaker,strawberries,program,program_id
1724840292,coderspace,0,jovial_wiles,25
1724744573,coderspace,0,famous_stonebraker,55
1724739386,coderspace,0,trusting_mestorf,105
1723815710,kerckhoffs,0,romantic_visvesvaraya,43
1723815692,kerckhoffs,0,nifty_heisenberg,41
1723673490,Sarkoxed,0,adoring_albattani,1
1723672746,Sarkoxed,0,cool_dubinsky,15
1723672635,Sarkoxed,0,condescending_shockley,17
1723643191,Sarkoxed,0,stupefied_varahamihira,16
1723628617,joe,0,compassionate_easley,40
1723588339,kerckhoffs,0,nostalgic_noether,61
1723556843,kerckhoffs,0,blissful_fermi,102
1723534026,Idefix,160.1490180887,sad_einstein,107
1723490970,kerckhoffs,0,trusting_mestorf,105
1723473523,kerckhoffs,218.0431093459,eager_euler,87
1723473399,lefootlefoot,0,vigilant_wescoff,12
1723371437,kerckhoffs,224.0305711345,objective_goldberg,62
1723365959,CryptoMonkey,0,confident_benz,81
1723365160,CryptoMonkey,0,vigilant_wescoff,12
1723325249,kerckhoffs,0,bright_lumiere,74
1723324933,Idefix,22.9294211779,xenodochial_northcutt,106
1723324453,kerckhoffs,0,angry_meninsky,104
1723324423,kerckhoffs,0,vibrant_morse,101
1723323687,kerckhoffs,23.3459325776,xenodochial_northcutt,106
1723307247,BlackBox,48.3890902987,trusting_mestorf,105
1723306727,CryptoMonkey,0,focused_gary,20
1723294457,CryptoMonkey,0,epic_dijkstra,38
1723275709,kerckhoffs,48.3346621846,adoring_kowalevski,98
1723243695,Idefix,25.4172151636,brave_swanson,93
1723239019,kerckhoffs,26.7782194645,brave_swanson,93
1723208638,BlackBox,11.5725558933,vibrant_morse,101
1723208614,BlackBox,14.3692924243,blissful_fermi,102
1723205938,BlackBox,19.3251272022,angry_meninsky,104
1723188037,CryptoMonkey,0,sad_curran,10
1723182932,CryptoMonkey,0,condescending_shockley,17
1723182900,CryptoMonkey,0,cool_dubinsky,15
1723182864,CryptoMonkey,0,goofy_archimedes,14
1723182784,CryptoMonkey,0,stupefied_varahamihira,16
1723176401,BlackBox,30.3189614965,nostalgic_noether,61
1723171940,joe,0,infallible_khorana,19
1723171164,kerckhoffs,27.1726933676,confident_benz,81
1723130587,kerckhoffs,25.633413897,heuristic_nobel,73
1723102310,kerckhoffs,25.4577131007,sharp_wright,71
1723050222,BlackBox,17.3469469241,bright_lumiere,74
1722928205,joe,0,sad_curran,10
1722925269,joe,0,blissful_raman,5
1722914968,joe,0,adoring_albattani,1
1722798978,kerckhoffs,14.7297767657,gallant_payne,56
1722798944,kerckhoffs,0,famous_stonebraker,55
1722798900,kerckhoffs,0,eloquent_indiana,52
1722798711,BlackBox,14.8112128331,gallant_payne,56
1722651243,BlackBox,0.8521532335,famous_stonebraker,55
1722619531,BlackBox,0.1142180012,eloquent_indiana,52
1722517496,lefootlefoot,0,goofy_archimedes,14
1722513379,lefootlefoot,0,blissful_raman,5
1722504558,Idefix,0.6327328239,elastic_bell,49
1722483200,coderspace,0,competent_sammet,39
1722441457,kerckhoffs,0,reverent_beaver,48
1722394066,BlackBox,0,stupefied_varahamihira,16
1722394037,BlackBox,0,vigilant_wescoff,12
1722394015,BlackBox,0,condescending_shockley,17
1722393973,BlackBox,0,cool_dubinsky,15
1722393923,BlackBox,0,focused_gary,20
1722393897,BlackBox,0,goofy_archimedes,14
1722393871,BlackBox,0,sad_curran,10
1722393845,BlackBox,0,blissful_raman,5
1722393818,BlackBox,0,competent_sammet,39
1722393782,BlackBox,0,infallible_khorana,19
1722393755,BlackBox,0,epic_dijkstra,38
1722393667,BlackBox,0,reverent_beaver,48
1722393640,BlackBox,0,dazzling_panini,46
1722393610,BlackBox,0,romantic_visvesvaraya,43
1722393583,BlackBox,0,nifty_heisenberg,41
1722393537,BlackBox,0,peaceful_williams,47
1722393500,kerckhoffs,25.7615819705,elastic_bell,49
